T,P,TC,SV,Idx
253.15,17.7,0.026935506,392.0380731,54.00889748
253.15,17.7,0.026723469,384.7022429,54.18081151
253.15,17.7,0.026895279,388.7845028,53.97236191
253.15,17.7,0.026985563,389.3886691,54.06140506
253.15,17.7,0.02703357,386.4356091,54.16015998
253.15,17.7,0.027141925,388.0220225,54.13610463
253.15,17.7,0.027039935,385.3837809,54.24136013
253.15,17.7,0.026679405,387.4423236,54.21406273
253.15,17.7,0.027284128,383.9266885,54.22794503
253.15,17.7,0.027211246,388.4749385,54.08177947
253.15,17.7,0.026880445,389.6297067,53.97743893
253.15,17.7,0.026797543,389.0906397,54.12393713
253.15,17.7,0.027263356,389.7385893,53.97117028
253.15,17.7,0.026695373,386.9291264,54.29887347
253.15,17.7,0.02699933,386.491603,54.05004033
253.15,17.7,0.027447977,396.6946708,53.39145332
253.15,17.7,0.027282476,394.5824619,53.65078833
253.15,17.7,0.02738803,388.5613934,53.88993218
253.15,17.7,0.026762674,387.3423207,54.02563011
253.15,17.7,0.027077141,392.7560025,53.90962597
253.15,17.7,0.026888192,392.6119998,54.02823664
253.15,17.7,0.026865375,390.4673389,54.1149934
253.15,17.7,0.027126202,385.8658156,54.1002775
253.15,17.7,0.027049386,395.7432727,53.72930112
253.15,17.7,0.027099083,393.4800832,53.88063181
253.15,17.7,0.02727272,383.2056135,54.26602722
253.15,17.7,0.027319965,389.0381329,53.99656337
253.15,17.7,0.027082127,388.6439261,54.02952071
253.15,17.7,0.026863946,382.3535905,54.40641681
253.15,17.7,0.026871054,392.4714497,54.09333431
253.15,17.7,0.027134305,388.1615834,54.00258676
253.15,17.7,0.0272143,386.7362831,54.11989224
253.15,17.7,0.027161422,387.5798836,54.01498574
253.15,17.7,0.0273895,394.9754386,53.47475514
253.15,17.7,0.027175528,383.5801004,54.25645857
253.15,17.7,0.027009823,385.5541531,54.23084419
253.15,17.7,0.026766371,392.3480771,54.03924263
253.15,17.7,0.026892611,394.9444006,53.90561984
253.15,17.7,0.02675278,388.3338876,54.15044419
253.15,17.7,0.027260011,394.7559286,53.45763733
253.15,17.7,0.027141141,391.8380286,53.70654771
253.15,17.7,0.026727596,391.7826396,54.07379682
253.15,17.7,0.027294866,397.009083,53.44571203
253.15,17.7,0.027236459,394.1168805,53.60142532
253.15,17.7,0.026922095,389.5515032,54.0395089
253.15,17.7,0.027470643,387.3599411,53.98574579
253.15,17.7,0.027113183,387.0838101,54.13718887
253.15,17.7,0.027092236,389.7859017,54.07082812
253.15,17.7,0.027111674,387.5929531,54.0343054
253.15,17.7,0.027280652,394.8379603,53.5010401
253.15,17.7,0.026825477,391.0326253,54.11069249
253.15,17.7,0.027192412,385.3310051,54.11083566
253.15,17.7,0.026723047,384.6124639,54.31439937
253.15,17.7,0.027290971,390.3819279,53.90489407
253.15,17.7,0.027207247,388.7636707,53.99919099
253.15,17.7,0.027134596,395.1813955,53.61154212
253.15,17.7,0.027166757,392.4153171,53.62880886
253.15,17.7,0.027162912,390.364187,53.87509699
253.15,17.7,0.027008696,387.8563611,54.14345779
253.15,17.7,0.026575723,382.8480048,54.29103307
253.15,17.7,0.027008948,389.4857498,54.11161581
253.15,17.7,0.026994471,385.2163778,54.10663958
253.15,17.7,0.027193454,389.238415,53.84832543
253.15,17.7,0.027134365,389.6949505,53.94781879
